Kind,ID,calories,carbohydrate,fat,protein,vitamine,vta,vtc,vte,carotene,thiamine,riboflavin,yansuan,cholesterol,mg,ca,iron,zinc,copper,mn,k,p,na,se
1,11,138.55,9.4,3.15,18.09,0.02,61.4,0.13,0.42,5.47,0.04,0.06,0.02,406.69,2.5,24.07,0.6,0.4,0.1,0.03,76.24,11.33,650.47,3.58
1,12,94.59,8.05,5.96,2.89,1.53,17.14,19.38,2.77,101.33,0.02,0.03,0.56,0,12.66,10.99,0.58,0.42,0.1,0.51,79.58,50.93,210.36,0.18
1,13,194,47.3,0.4,0.45,0.4,74,4,0.18,445,0.02,0.02,0.2,0,4,8,0.2,0.07,0.02,0.04,72.5,12,0.4,0.23
1,14,266,50.98,3.42,8.76,1.82,13.56,82.56,0.97,80,0.02,0.08,3.31,0,27.22,12.67,3.61,1.09,0.38,1.15,195.56,94.33,12.76,3.32
1,15,405.31,62.78,12.61,12.65,2.5,14.23,0.46,6.97,83.85,0.42,0.11,5.28,0,123.38,40.54,4.41,2.02,0.63,0.97,353.92,250.92,4.14,4.56
1,16,309.58,66.72,2.12,8.02,2.15,19.97,47.03,3.88,118.71,0.24,0.09,1.35,0,90.71,48,4.38,1.74,0.43,0.78,354.52,182.42,4.4,3.85
1,17,352.82,73.5,1.69,11.99,1.06,0,0,1.15,0,0.08,0.1,2.25,0,38.24,19.88,4.28,1,0.41,1.52,112.94,139.12,14.04,3.81
1,18,290.26,61.36,1.3,9.27,0.96,0.65,1.09,0.9,4.35,0.07,0.08,1.72,0,32.7,19.91,3.34,0.82,0.36,1.14,129.78,110.09,14.57,2.92
1,19,348,78.3,1,7.3,0.8,0,0,1.29,0,0.11,0.04,2.3,0,49,26,1.4,1.54,0.25,1.54,137,113,1.5,2.71
1,21,306.14,69.53,0.78,6.28,0.99,0,4.1,0.98,0,0.09,0.04,1.91,0,47.7,24.24,1.32,1.29,0.25,1.25,223.29,99.86,2.9,2.16
1,22,331.33,68.27,1.83,10.43,4.53,2,0,3.17,0,0.19,0.13,2.33,0,176,34,5.83,2.64,0.55,1.94,283.67,233.33,10.3,3.17
1,23,312.12,64.06,2.22,8.98,6.28,6.25,0.5,4.24,20.19,0.27,0.16,2.13,0,248.54,47.24,6.01,3.49,0.54,1.97,389.22,286.2,571.75,2.4
1,24,44.3,4.87,1.55,2.63,2.1,464.76,20.95,2.38,0,0.08,0.14,0.88,0,56.76,38.99,0.66,1.1,0.94,0.53,133.84,62.92,508.29,1.93
1,25,49.58,11.3,0.89,1.17,2.37,0.04,3.56,0.01,0.23,0,0.01,0.14,0,8.54,2.61,0.21,0.11,0.05,0.07,101.68,12.78,307.38,0.07
1,26,149.97,2.56,9.61,13.31,0.29,4.57,10.6,0.13,1.47,0.07,0.06,2.07,42.91,10.05,17.03,2.6,2.29,0.12,0.11,131.85,86.28,387.59,7.6
1,27,32.49,5.92,1.02,1.46,2.04,9.36,22.85,0.31,15.73,0.02,0.02,0.26,0,8.68,34.29,0.46,0.17,0.04,0.19,79.1,15.99,488.31,0.59
1,28,110.59,9.24,2.73,13.07,0.8,11.89,0.6,0.75,41.98,0.03,0.1,3.63,51.85,24.19,21.49,2.91,3.05,0.14,0.25,172.06,118.37,1003.54,4.4
1,29,50.24,8.64,0.52,4.15,1.5,970.29,42.44,0.93,5820.14,0.08,0.12,0.84,0,17.66,61.48,1.04,0.8,0.07,0.25,70.42,80,256.6,1.15
1,30,26.13,5.74,0.2,0.91,0.48,85.25,17.78,0.53,509.72,0.03,0.03,0.6,0,9.02,10.47,0.53,0.16,0.06,0.15,162.6,24.45,374.81,0.23
1,31,88.83,5.89,3.4,9.08,0.5,3.74,4.43,0.32,11.08,0.21,0.07,2.35,22.85,22.12,16.83,1.08,1.1,0.1,0.11,217.9,100.89,317.91,2.72
1,32,106,22.75,0.85,2.78,1,115.25,6,1.18,692.5,0.1,0.06,0.68,0,32.75,22.25,1.58,0.57,0.16,0.28,179.75,75.25,1.68,1.53
1,33,162.43,33.87,0.79,5.86,0.91,84.57,4.57,0.7,508.57,0.05,0.07,1.26,0,20.57,17.43,2.2,0.52,0.21,0.74,130.86,75,7.11,2.02
1,35,60.12,14.21,0.23,2.01,1.65,11.1,35.83,0.66,67.44,0.06,0.03,0.31,0,15.51,28.98,1.04,0.26,0.1,0.8,203.21,50.25,179.31,0.63
1,36,367.52,23.69,29.59,7.07,5.43,22.57,12.68,1.87,106.21,0.07,0.14,1.79,53.92,41.26,33,3.15,1.1,0.25,0.52,213.39,83.3,133.53,3.02
1,37,268.03,55.89,0.77,10.17,0.77,53.41,5.45,0.75,320.45,0,0.08,2.15,0,14.8,15.94,4.24,0.62,0.41,1.43,93.47,88.94,613.75,3.81
1,38,21.01,3.54,0.19,2.2,0.97,60,10.32,0.37,361.49,0.04,0.07,0.57,0,19.86,17.31,0.85,0.37,0.1,0.22,113.94,36.74,197.62,0.72
1,39,188.04,39.87,0.54,6.73,0.85,337.35,6.54,0.55,2025.1,0.02,0.05,1.57,0,12.95,20.11,3.01,0.46,0.3,0.98,118.71,65.57,430.99,2.58
1,40,43.67,8.86,1.67,1.17,2.81,4.12,0.69,1.11,25.04,0,0.01,0.06,0,9.74,7.54,0.88,0.1,0.01,0.22,17.42,2.91,575.71,0.12
1,41,40.64,6.21,1.18,2.98,1.62,433.6,28.96,1.62,2599.82,0.04,0.1,0.59,0,53.63,62.81,2.7,0.82,0.11,0.66,300.73,49.95,673.92,1.1
1,42,63.07,6.98,1.41,7.08,1.42,320.59,20.92,1.15,1922.22,0.04,0.1,0.5,0,59.01,144,3.59,1.14,0.32,0.86,250.42,120.17,347.37,0.66
1,43,22.83,5.14,0.1,1.21,0.99,3.08,20.52,0.89,20.38,0.02,0.03,0.3,0,15.83,36.2,0.52,0.3,0.04,0.1,169.31,25.76,575.87,0.62
1,44,196.24,3.67,18.9,3.61,0.8,6.16,13.77,0.62,19.16,0.04,0.03,0.98,34.71,16.93,28.39,0.71,0.72,0.05,0.12,185.5,48.32,315.78,1.6
1,45,583.99,38.53,46.06,3.9,1.95,8.05,0.2,4.97,2.72,0.09,0.05,6.13,0,33.6,13.91,1.31,1.39,0.27,0.28,601.08,86.34,362.18,0.45
1,46,88.57,8.22,1.14,11.51,0.46,4.3,11.62,0.64,4.31,0.06,0.09,3.57,37.06,24.16,10.2,2.2,2.23,0.11,0.16,255.16,126.56,448.6,2.87
1,47,182.13,28.57,4.04,8.96,1.05,13.45,7.14,0.89,31.44,0.19,0.08,1.88,15.34,41.48,25.04,2.03,1.24,0.16,0.54,180.35,123.26,459.74,3.07
1,48,195.15,2.52,19.39,3.33,0.69,12.06,11.65,0.09,54.81,0.04,0.02,0.97,34.28,12.08,18.87,0.53,0.58,0.07,0.1,124.63,39.16,274.14,1.34
1,49,34.46,7.48,0.24,2.79,2.18,15.63,7.55,0.14,94.05,0.03,0.07,1.12,0,22.08,25.01,1.16,0.58,0.1,0.29,108.23,52.62,427.79,1.26
1,50,205.91,34.4,5.03,6.84,1.09,10.25,4.15,0.42,48.07,0.15,0.08,1.46,9.95,35.42,20.06,2.77,1.23,0.13,0.58,159.85,122.95,374.71,7.7
1,51,74.95,3.48,4.48,5.57,0.31,131.66,11.35,1.24,331.98,0.07,0.14,0.43,229.58,9.82,24.26,1.16,0.48,0.06,0.07,144.41,85.17,280.94,5.99
1,52,52.17,3.13,2.14,5.66,0.5,54.97,10.85,3.15,328.71,0.04,0.03,0.47,0,31.77,64.56,1.3,0.34,0.13,0.34,137.56,79.71,337.24,0.75
1,53,31.19,4.04,1.37,1.33,0.72,23.58,3.77,0.78,141.51,0.02,0.02,0.55,0,21.33,31.89,1.17,0.4,0.09,0.25,209.8,54.88,286.31,0.62
1,54,22.93,5.08,0.13,1.17,0.85,18.91,3.75,1.08,113.96,0.02,0.02,0.44,0,23.4,23.43,1.44,0.36,0.09,0.31,191.05,41.83,317.79,0.55
1,55,39.42,3.28,1.18,4.57,0.73,65.35,23.01,0.59,393.35,0.03,0.07,0.46,0,14.61,69.87,0.81,0.24,0.05,0.16,142.65,28.39,533.54,0.61
1,56,33.68,6.68,0.38,2.17,1.36,67.37,23.32,0.56,405.82,0.04,0.1,0.87,0,16.03,73.19,0.89,0.32,0.06,0.2,138.78,42.73,533.27,0.93
1,2386,22.95,5.56,0.23,1.54,2.26,16.31,42.7,0.09,95.99,0.04,0.05,0.69,0,11.34,14.39,1.44,0.47,0.08,0.26,214.61,43.91,375.6,0.27
1,2387,71.4,6.2,2.49,7.18,1.23,12.47,27.76,0.18,64.48,0.17,0.07,2.09,16.77,18.17,10.54,1.61,0.99,0.1,0.19,238.73,86.54,462.86,1.8
1,2388,19.1,3.65,0.12,1.55,0.8,19.02,29.03,0.72,114.12,0.04,0.05,0.63,0,11.62,48.09,0.9,0.42,0.05,0.29,20.83,34.12,244.79,0.59
1,2390,272.36,57.23,0.76,10.3,1.12,0.16,0.46,0.55,0.93,0,0.08,2.41,0,11.76,7.38,4.04,0.67,0.43,1.41,44.31,93.03,626.49,4.09
1,2391,95.32,18.32,1.73,3.58,1.95,42.89,9.6,1.27,108.71,0.05,0.11,1.16,0,20.28,23.42,0.88,0.58,0.17,0.51,152.06,62.37,356.42,3.03
1,2392,46.62,6.85,2.22,1.73,1.9,8.54,4.46,0.84,51.23,0.09,0.12,2.4,0,16.17,14.26,1.15,0.32,0.11,0.16,154.84,65.36,301.76,0.37
1,2393,86.79,6,6.26,3.99,2.28,6.13,1.29,0.79,19.35,0.13,0.15,3.24,12.9,16.12,2.36,1.34,0.61,0.1,0.09,164.33,92.16,485.68,2.15
1,2394,144.61,2.16,8.03,16.65,0.73,40.81,0.69,0.64,1.22,0.04,0.08,4.78,89.68,17.49,13.79,1.62,0.99,0.07,0.05,215.76,137.66,277.1,10.13
1,2395,141.57,3.31,10.49,10.32,1.93,6.21,1.86,0.25,0.61,0.41,0.1,2.92,84.01,12.52,12.77,1.63,1.09,0.09,0.06,147.6,83.59,369.52,5.94
1,2396,304.26,66.69,0.82,10.47,2.94,7.19,36,1.47,42.96,0.02,0.11,2.24,0,23.93,28.33,11.22,0.98,0.42,2,147.96,103.56,19.8,3.8
1,2397,92.46,10.01,3.43,8.35,2.99,1.49,0,3.37,8.77,0.05,0.06,0.39,0,37.05,165.91,10.23,1.26,0.27,1.19,176.3,130,700.24,2.36
1,2400,282.3,35.44,9.77,13.52,0.35,24.98,0.2,0.46,2.74,0.04,0.14,3.24,44.34,14.08,7.36,3.56,0.97,0.35,0.9,118.93,109.76,413.78,8.04
1,2401,170.6,6.91,11.61,10.07,0.42,34.3,6.05,0.35,28.02,0.07,0.14,2.67,53.76,18.33,13.6,1.64,0.93,0.17,0.19,157.8,91.94,168.97,7.34
